Cluster,HLA,Correlation
4of5,HLA_A0211,0.57
4of5,HLA_A0201,0.56
4of5,HLA_A0204,0.56
4of5,HLA_C1502,0.54
4of5,HLA_B5703,0.54
4of5,HLA_A0206,0.53
4of5,HLA_A0207,0.53
4of5,HLA_C0602,0.52
4of5,HLA_A0203,0.52
4of5,HLA_B5201,0.51
4of5,HLA_B1517,0.51
4of5,HLA_A0205,0.51
1of5,HLA_A0206,0.51
1of5,HLA_A0207,0.51
4of5,HLA_A0202,0.51
4of5,HLA_C0202,0.5
4of5,HLA_C1203,0.5
1of5,HLA_C0304,0.5
1of5,HLA_C0302,0.5
4of5,HLA_A3201,0.49
4of5,HLA_B5701,0.49
1of5,HLA_C0102,0.49
4of5,HLA_A0252,0.49
1of5,HLA_A0203,0.48
1of5,HLA_A0204,0.48
4of5,HLA_A6802,0.48
4of5,HLA_A3101,0.48
1of5,HLA_C0303,0.48
4of5,HLA_B1302,0.47
4of5,HLA_C1402,0.47
4of5,HLA_C1505,0.47
1of5,HLA_C1502,0.47
1of5,HLA_A3001,0.47
4of5,HLA_C1701,0.47
4of5,HLA_C1403,0.46
4of5,HLA_B2709,0.46
4of5,HLA_B1503,0.46
5of5,HLA_C1701,0.46
5of5,HLA_A0206,0.46
4of5,HLA_C1202,0.46
1of5,HLA_B4601,0.46
4of5,HLA_B4701,0.46
1of5,HLA_A2501,0.45
4of5,HLA_A2402,0.45
4of5,HLA_A2601,0.45
4of5,HLA_B5802,0.45
4of5,HLA_A2301,0.45
1of5,HLA_C1402,0.45
4of5,HLA_B5801,0.45
4of5,HLA_B1501,0.45
1of5,HLA_A2301,0.45
4of5,HLA_C0302,0.45
1of5,HLA_A2601,0.44
1of5,HLA_A0201,0.44
1of5,HLA_A2402,0.44
4of5,HLA_A6901,0.44
5of5,HLA_B5703,0.44
4of5,HLA_B2705,0.44
4of5,HLA_B1402,0.43
1of5,HLA_B1517,0.43
4of5,HLA_C1601,0.43
1of5,HLA_A0301,0.43
5of5,HLA_A0205,0.43
4of5,HLA_C1602,0.43
4of5,HLA_C0501,0.42
1of5,HLA_B5101,0.42
1of5,HLA_A6901,0.42
5of5,HLA_A0207,0.42
1of5,HLA_B2704,0.42
1of5,HLA_A0211,0.42
