Cluster,HLA,Correlation
4of4,HLA_B5101,0.87
1of5,HLA_B5101,0.87
2of6,HLA_C1502,0.85
5of5,HLA_C1502,0.81
1of3,HLA_B5101,0.79
1of6,HLA_A0101,0.79
3of5,HLA_A0101,0.77
2of2,HLA_B5101,0.77
2of4,HLA_A0101,0.77
3of6,HLA_B5101,0.76
5of5,HLA_A0204,0.72
5of5,HLA_A0201,0.7
2of6,HLA_C1701,0.7
1of1,HLA_B5101,0.7
2of6,HLA_C1203,0.7
1of5,HLA_B5108,0.69
2of6,HLA_A0204,0.69
4of4,HLA_B5108,0.69
1of1,HLA_B3501,0.68
2of6,HLA_A0201,0.68
1of1,HLA_C0304,0.68
5of5,HLA_A0203,0.67
5of5,HLA_C1203,0.67
2of6,HLA_C1505,0.67
3of3,HLA_A0101,0.67
3of6,HLA_B5201,0.67
2of6,HLA_B1517,0.67
5of5,HLA_A0206,0.66
5of5,HLA_C1505,0.66
2of4,HLA_A3601,0.66
2of4,HLA_C1502,0.66
2of6,HLA_C0602,0.66
2of4,HLA_A0207,0.66
2of3,HLA_C1502,0.66
1of1,HLA_A0207,0.65
5of5,HLA_C0602,0.65
1of3,HLA_B3501,0.65
2of4,HLA_C0501,0.65
5of5,HLA_C1701,0.65
2of3,HLA_A0203,0.65
2of2,HLA_B5108,0.65
1of2,HLA_A0207,0.65
2of4,HLA_A0201,0.65
2of6,HLA_C0202,0.64
2of4,HLA_A0252,0.64
4of4,HLA_B5401,0.64
1of5,HLA_B3501,0.64
1of2,HLA_A0101,0.64
1of3,HLA_C0302,0.64
2of6,HLA_C0704,0.64
5of5,HLA_B1517,0.64
1of3,HLA_B5108,0.64
1of3,HLA_C0304,0.64
1of3,HLA_B5401,0.64
2of6,HLA_B1302,0.64
2of3,HLA_A0204,0.64
5of5,HLA_A0301,0.63
2of4,HLA_A2902,0.63
3of5,HLA_C0501,0.63
6of6,HLA_B5101,0.63
4of4,HLA_B3501,0.63
4of4,HLA_C0302,0.63
2of6,HLA_A0203,0.63
1of4,HLA_B5201,0.63
2of6,HLA_C0701,0.62
1of1,HLA_A0201,0.62
2of6,HLA_A0207,0.62
2of4,HLA_A0204,0.62
5of5,HLA_A0207,0.62
3of6,HLA_B5108,0.62
1of5,HLA_B5401,0.62
1of1,HLA_C0302,0.62
2of4,HLA_C0202,0.62
2of6,HLA_C0304,0.62
2of6,HLA_C1601,0.62
1of6,HLA_C0501,0.62
1of1,HLA_B8101,0.62
2of2,HLA_B5401,0.62
2of6,HLA_A0301,0.61
5of5,HLA_B2704,0.61
2of3,HLA_B4701,0.61
2of3,HLA_B1302,0.61
5of5,HLA_C0701,0.61
2of2,HLA_B5201,0.61
1of3,HLA_B5501,0.61
1of5,HLA_C0302,0.61
2of3,HLA_B5201,0.61
2of3,HLA_A0201,0.61
5of5,HLA_C0202,0.61
2of6,HLA_A2902,0.61
1of2,HLA_C0501,0.61
1of2,HLA_A0252,0.6
1of2,HLA_C0304,0.6
3of5,HLA_B1511,0.6
2of6,HLA_B5701,0.6
1of1,HLA_C1502,0.6
1of1,HLA_C0303,0.6
1of3,HLA_B8101,0.6
2of2,HLA_B8101,0.6
1of6,HLA_A2902,0.6
4of4,HLA_B5501,0.6
5of5,HLA_A0252,0.6
4of4,HLA_C0304,0.6
5of5,HLA_B5701,0.6
2of6,HLA_A0206,0.6
5of5,HLA_B1302,0.6
3of5,HLA_C1204,0.59
1of5,HLA_C0304,0.59
2of6,HLA_A0252,0.59
2of2,HLA_C0304,0.59
1of6,HLA_B1511,0.59
1of2,HLA_A0201,0.59
1of3,HLA_C0303,0.59
2of6,HLA_C0302,0.59
2of2,HLA_B3501,0.59
1of6,HLA_C1204,0.59
3of6,HLA_B5401,0.59
3of5,HLA_A0207,0.59
2of2,HLA_B3906,0.59
1of1,HLA_B5108,0.59
4of4,HLA_B8101,0.59
1of1,HLA_B1511,0.59
5of5,HLA_A2902,0.59
2of3,HLA_C0602,0.59
1of1,HLA_B3503,0.59
1of6,HLA_C0202,0.59
2of2,HLA_B1518,0.58
1of3,HLA_B1518,0.58
2of2,HLA_B5501,0.58
1of3,HLA_B5601,0.58
2of2,HLA_B5601,0.58
2of2,HLA_C0302,0.58
2of3,HLA_B4002,0.58
3of3,HLA_C0501,0.58
2of4,HLA_B5701,0.58
1of5,HLA_B8101,0.58
1of1,HLA_A0204,0.58
6of6,HLA_A6802,0.58
5of5,HLA_C0704,0.58
5of5,HLA_B4701,0.58
1of1,HLA_B1513,0.58
1of1,HLA_A0252,0.58
1of1,HLA_B5401,0.58
1of1,HLA_A0203,0.58
3of5,HLA_B3501,0.58
5of5,HLA_A2402,0.58
3of5,HLA_C0202,0.58
1of6,HLA_B3501,0.58
3of5,HLA_A2902,0.58
1of6,HLA_A3601,0.58
5of5,HLA_A3101,0.57
2of4,HLA_B2709,0.57
6of6,HLA_B3501,0.57
6of6,HLA_C1204,0.57
3of3,HLA_A0207,0.57
2of3,HLA_B2709,0.57
5of5,HLA_C1601,0.57
1of3,HLA_B3503,0.57
1of4,HLA_B4701,0.57
5of5,HLA_A3001,0.57
4of4,HLA_B1511,0.57
1of6,HLA_B1501,0.57
3of6,HLA_B1518,0.57
6of6,HLA_C1202,0.57
1of5,HLA_B5501,0.57
1of6,HLA_A0207,0.57
3of5,HLA_B3508,0.57
5of5,HLA_C0302,0.57
2of4,HLA_A0203,0.57
1of1,HLA_B1518,0.57
2of3,HLA_A0207,0.57
1of2,HLA_B3501,0.57
2of6,HLA_B5703,0.57
2of6,HLA_A1101,0.57
2of3,HLA_A0206,0.57
1of6,HLA_C0802,0.56
4of4,HLA_B3503,0.56
1of6,HLA_B3508,0.56
1of1,HLA_B3507,0.56
3of6,HLA_B3906,0.56
3of6,HLA_B8101,0.56
1of2,HLA_A0204,0.56
3of6,HLA_B5501,0.56
3of6,HLA_B5601,0.56
2of2,HLA_C1502,0.56
1of2,HLA_C0302,0.56
2of2,HLA_B5502,0.56
1of6,HLA_A0252,0.56
2of6,HLA_A7401,0.56
1of1,HLA_C1202,0.56
2of4,HLA_C0602,0.56
4of4,HLA_B5601,0.56
1of5,HLA_B3503,0.56
2of6,HLA_B2704,0.56
2of4,HLA_C1505,0.56
1of1,HLA_C0501,0.56
3of5,HLA_B1501,0.56
2of6,HLA_C0303,0.56
6of6,HLA_C0302,0.56
1of5,HLA_B3507,0.56
2of6,HLA_B4701,0.56
2of4,HLA_B4002,0.56
1of3,HLA_B1511,0.56
2of6,HLA_B5802,0.56
1of1,HLA_B4002,0.56
1of2,HLA_C1204,0.56
2of6,HLA_B8101,0.56
1of4,HLA_C1502,0.56
1of3,HLA_B5502,0.56
4of4,HLA_B1518,0.56
2of3,HLA_B4006,0.56
5of5,HLA_B2709,0.56
5of5,HLA_A1101,0.56
5of5,HLA_A2608,0.56
5of5,HLA_B4901,0.56
5of5,HLA_A7401,0.56
2of3,HLA_B2704,0.56
5of5,HLA_C0304,0.56
2of2,HLA_A0203,0.56
2of4,HLA_B5801,0.55
3of5,HLA_A3601,0.55
1of3,HLA_C1202,0.55
3of5,HLA_C0802,0.55
1of5,HLA_C0303,0.55
2of6,HLA_B2709,0.55
5of5,HLA_B2705,0.55
2of4,HLA_B1513,0.55
4of4,HLA_C0303,0.55
1of1,HLA_A6901,0.55
5of5,HLA_A2301,0.55
4of4,HLA_B3507,0.55
1of5,HLA_B1518,0.55
1of1,HLA_C0801,0.55
1of1,HLA_B1501,0.55
1of5,HLA_B5601,0.55
1of1,HLA_A2902,0.55
1of5,HLA_A6901,0.55
6of6,HLA_B5108,0.55
1of1,HLA_A6802,0.55
5of5,HLA_B4002,0.55
1of1,HLA_C0602,0.55
2of4,HLA_B1517,0.55
1of2,HLA_A0203,0.55
1of1,HLA_B3905,0.55
2of3,HLA_A0252,0.55
2of3,HLA_B5701,0.55
1of2,HLA_A2902,0.55
1of2,HLA_C0802,0.55
4of6,HLA_A0203,0.55
4of4,HLA_B5502,0.55
1of6,HLA_C1202,0.55
4of6,HLA_A0204,0.55
4of4,HLA_A6901,0.55
1of2,HLA_C1202,0.55
5of5,HLA_B5703,0.55
1of5,HLA_B5201,0.54
6of6,HLA_C0602,0.54
1of5,HLA_B1511,0.54
1of5,HLA_B1502,0.54
2of4,HLA_A2402,0.54
2of6,HLA_A6802,0.54
1of1,HLA_B1502,0.54
3of6,HLA_B4901,0.54
2of4,HLA_B3501,0.54
2of6,HLA_A2402,0.54
3of4,HLA_B3501,0.54
1of6,HLA_C0304,0.54
2of4,HLA_C0304,0.54
5of5,HLA_A6901,0.54
2of3,HLA_B1501,0.54
1of1,HLA_B2709,0.54
2of6,HLA_A3001,0.54
2of4,HLA_B1301,0.54
3of5,HLA_C1202,0.54
1of3,HLA_C1204,0.54
2of3,HLA_B2705,0.54
1of2,HLA_B1501,0.54
3of5,HLA_A0252,0.54
2of4,HLA_C0302,0.54
2of6,HLA_B4002,0.54
2of6,HLA_A3101,0.54
5of5,HLA_A6802,0.54
2of5,HLA_B3501,0.54
1of3,HLA_B4601,0.54
2of6,HLA_A0211,0.54
2of4,HLA_A0206,0.54
3of4,HLA_C1204,0.54
2of4,HLA_B4001,0.53
2of4,HLA_B3508,0.53
3of5,HLA_C0304,0.53
1of1,HLA_A0206,0.53
1of1,HLA_B3508,0.53
1of1,HLA_C0202,0.53
1of1,HLA_B5601,0.53
1of1,HLA_B5501,0.53
3of5,HLA_C0302,0.53
2of6,HLA_B4901,0.53
1of2,HLA_C1502,0.53
2of6,HLA_B5801,0.53
2of6,HLA_B2705,0.53
1of3,HLA_B3507,0.53
1of3,HLA_B3906,0.53
2of3,HLA_B4901,0.53
3of5,HLA_B1513,0.53
2of4,HLA_B2704,0.53
1of6,HLA_C0302,0.53
3of6,HLA_B5502,0.53
4of4,HLA_B1402,0.53
1of5,HLA_B5301,0.53
2of4,HLA_A2608,0.53
1of6,HLA_B1513,0.53
6of6,HLA_B1805,0.53
2of2,HLA_B3924,0.53
1of4,HLA_B4002,0.53
1of5,HLA_B5502,0.53
2of4,HLA_B1501,0.53
2of2,HLA_A0204,0.53
3of3,HLA_B1511,0.53
2of2,HLA_C0602,0.53
3of3,HLA_C1204,0.53
2of2,HLA_B1511,0.53
2of4,HLA_B1511,0.53
3of6,HLA_B1510,0.53
3of3,HLA_C0802,0.53
5of5,HLA_B5802,0.53
4of4,HLA_B1502,0.53
3of6,HLA_B3924,0.53
1of1,HLA_B5301,0.52
3of6,HLA_B2709,0.52
2of2,HLA_B4002,0.52
4of4,HLA_B5301,0.52
1of5,HLA_B3906,0.52
2of5,HLA_C0304,0.52
5of5,HLA_B4006,0.52
2of4,HLA_B4701,0.52
4of4,HLA_A0203,0.52
2of3,HLA_A2402,0.52
2of6,HLA_C1602,0.52
2of3,HLA_A0205,0.52
1of1,HLA_C1204,0.52
4of4,HLA_B4201,0.52
2of3,HLA_B5703,0.52
3of3,HLA_B3501,0.52
1of4,HLA_A0203,0.52
4of4,HLA_C1502,0.52
1of2,HLA_C0303,0.52
1of2,HLA_B4002,0.52
1of2,HLA_C0202,0.52
3of6,HLA_A0203,0.52
1of3,HLA_B0702,0.52
1of1,HLA_C1402,0.52
2of4,HLA_B5703,0.52
2of2,HLA_B1503,0.52
2of4,HLA_B2705,0.52
3of6,HLA_B3501,0.52
1of3,HLA_B1510,0.52
2of4,HLA_A6802,0.52
2of3,HLA_C1203,0.52
1of3,HLA_A3401,0.52
2of4,HLA_B1805,0.52
1of1,HLA_B1805,0.52
1of1,HLA_B0702,0.52
2of2,HLA_C0303,0.52
5of5,HLA_A2407,0.52
2of2,HLA_A0207,0.52
6of6,HLA_B1518,0.52
1of1,HLA_B2704,0.52
1of1,HLA_A0101,0.52
1of3,HLA_B1502,0.52
2of3,HLA_B4403,0.52
1of1,HLA_C0802,0.52
3of6,HLA_B1503,0.52
3of3,HLA_C0304,0.52
3of3,HLA_A0252,0.52
4of6,HLA_A0201,0.52
1of3,HLA_B4201,0.51
2of3,HLA_A3001,0.51
2of3,HLA_A6802,0.51
2of6,HLA_C0501,0.51
4of5,HLA_B5201,0.51
