Cluster,HLA,Correlation
2of6,HLA_C1502,0.85
1of6,HLA_A0101,0.79
3of6,HLA_B5101,0.76
2of6,HLA_C1203,0.7
2of6,HLA_C1701,0.7
2of6,HLA_A0204,0.69
2of6,HLA_A0201,0.68
3of6,HLA_B5201,0.67
2of6,HLA_B1517,0.67
2of6,HLA_C1505,0.67
2of6,HLA_C0602,0.66
2of6,HLA_B1302,0.64
2of6,HLA_C0704,0.64
2of6,HLA_C0202,0.64
6of6,HLA_B5101,0.63
2of6,HLA_A0203,0.63
2of6,HLA_A0207,0.62
2of6,HLA_C0304,0.62
2of6,HLA_C0701,0.62
1of6,HLA_C0501,0.62
3of6,HLA_B5108,0.62
2of6,HLA_C1601,0.62
2of6,HLA_A0301,0.61
2of6,HLA_A2902,0.61
2of6,HLA_B5701,0.6
1of6,HLA_A2902,0.6
2of6,HLA_A0206,0.6
2of6,HLA_C0302,0.59
2of6,HLA_A0252,0.59
3of6,HLA_B5401,0.59
1of6,HLA_B1511,0.59
1of6,HLA_C1204,0.59
1of6,HLA_C0202,0.59
1of6,HLA_B3501,0.58
6of6,HLA_A6802,0.58
1of6,HLA_A3601,0.58
2of6,HLA_A1101,0.57
6of6,HLA_B3501,0.57
6of6,HLA_C1204,0.57
2of6,HLA_B5703,0.57
1of6,HLA_A0207,0.57
6of6,HLA_C1202,0.57
3of6,HLA_B1518,0.57
1of6,HLA_B1501,0.57
3of6,HLA_B8101,0.56
1of6,HLA_B3508,0.56
2of6,HLA_B2704,0.56
2of6,HLA_C0303,0.56
3of6,HLA_B3906,0.56
2of6,HLA_A7401,0.56
2of6,HLA_B4701,0.56
1of6,HLA_C0802,0.56
3of6,HLA_B5501,0.56
6of6,HLA_C0302,0.56
2of6,HLA_B8101,0.56
3of6,HLA_B5601,0.56
2of6,HLA_B5802,0.56
1of6,HLA_A0252,0.56
4of6,HLA_A0204,0.55
6of6,HLA_B5108,0.55
4of6,HLA_A0203,0.55
2of6,HLA_B2709,0.55
1of6,HLA_C1202,0.55
2of6,HLA_A3101,0.54
2of6,HLA_A6802,0.54
2of6,HLA_B4002,0.54
2of6,HLA_A2402,0.54
2of6,HLA_A3001,0.54
3of6,HLA_B4901,0.54
1of6,HLA_C0304,0.54
2of6,HLA_A0211,0.54
6of6,HLA_C0602,0.54
2of6,HLA_B5801,0.53
3of6,HLA_B1510,0.53
3of6,HLA_B5502,0.53
3of6,HLA_B3924,0.53
1of6,HLA_B1513,0.53
2of6,HLA_B4901,0.53
2of6,HLA_B2705,0.53
6of6,HLA_B1805,0.53
1of6,HLA_C0302,0.53
3of6,HLA_B3501,0.52
3of6,HLA_A0203,0.52
6of6,HLA_B1518,0.52
3of6,HLA_B2709,0.52
4of6,HLA_A0201,0.52
3of6,HLA_B1503,0.52
2of6,HLA_C1602,0.52
2of6,HLA_A1102,0.51
6of6,HLA_C0202,0.51
2of6,HLA_C0501,0.51
6of6,HLA_A0207,0.51
3of6,HLA_C0302,0.51
6of6,HLA_A6901,0.51
3of6,HLA_B4002,0.51
2of6,HLA_A2407,0.51
6of6,HLA_A2402,0.51
3of6,HLA_C0304,0.5
1of6,HLA_B3905,0.5
3of6,HLA_B1502,0.5
1of6,HLA_B1518,0.5
2of6,HLA_A6901,0.5
4of6,HLA_A0206,0.5
3of6,HLA_B4201,0.5
3of6,HLA_B2704,0.5
3of6,HLA_B3905,0.5
2of6,HLA_C1202,0.5
2of6,HLA_B5201,0.5
6of6,HLA_C1203,0.49
3of6,HLA_A0204,0.49
1of6,HLA_B4601,0.49
1of6,HLA_B3801,0.49
3of6,HLA_B1402,0.49
1of6,HLA_B5801,0.49
2of6,HLA_C0801,0.49
2of6,HLA_B5101,0.49
3of6,HLA_B1302,0.49
6of6,HLA_B4601,0.49
2of6,HLA_B4006,0.49
6of6,HLA_A0203,0.49
3of6,HLA_C1502,0.49
2of6,HLA_A2301,0.49
6of6,HLA_B3924,0.49
6of6,HLA_A2601,0.48
6of6,HLA_C1502,0.48
1of6,HLA_C0403,0.48
1of6,HLA_B5701,0.48
1of6,HLA_B2709,0.48
3of6,HLA_B5001,0.48
4of6,HLA_A0207,0.48
2of6,HLA_A0205,0.48
1of6,HLA_C1502,0.48
6of6,HLA_C0304,0.48
1of6,HLA_B1502,0.48
6of6,HLA_B8101,0.48
3of6,HLA_A0207,0.48
2of6,HLA_A2608,0.48
1of6,HLA_A6801,0.47
1of6,HLA_B5301,0.47
1of6,HLA_A0201,0.47
3of6,HLA_B2705,0.47
3of6,HLA_B0702,0.47
1of6,HLA_B3802,0.47
3of6,HLA_C0602,0.47
2of6,HLA_B4402,0.47
1of6,HLA_C0303,0.47
6of6,HLA_A6801,0.47
6of6,HLA_C1602,0.47
3of6,HLA_A0201,0.47
6of6,HLA_A2501,0.47
6of6,HLA_B5201,0.47
2of6,HLA_A3201,0.47
1of6,HLA_B3507,0.47
2of6,HLA_B1501,0.47
4of6,HLA_B4002,0.46
1of6,HLA_B3503,0.46
1of6,HLA_A6802,0.46
2of6,HLA_A3002,0.46
6of6,HLA_B4701,0.46
2of6,HLA_B1301,0.46
6of6,HLA_B5703,0.46
6of6,HLA_B3901,0.46
3of6,HLA_B4006,0.46
3of6,HLA_B1511,0.46
3of6,HLA_B0801,0.46
1of6,HLA_A0204,0.46
1of6,HLA_B4002,0.46
2of6,HLA_B4001,0.46
6of6,HLA_A0204,0.46
1of6,HLA_B1805,0.46
6of6,HLA_B1801,0.46
1of6,HLA_C0401,0.46
3of6,HLA_B3507,0.46
3of6,HLA_B3901,0.46
1of6,HLA_A0301,0.46
6of6,HLA_B4002,0.45
3of6,HLA_C0303,0.45
2of6,HLA_B4403,0.45
2of6,HLA_B5401,0.45
6of6,HLA_B1511,0.45
3of6,HLA_B1801,0.45
6of6,HLA_C1402,0.45
1of6,HLA_C0801,0.45
2of6,HLA_A3601,0.45
2of6,HLA_C1402,0.45
4of6,HLA_A0205,0.45
3of6,HLA_B1501,0.45
3of6,HLA_B4701,0.45
2of6,HLA_A0202,0.45
1of6,HLA_C1601,0.45
1of6,HLA_C1402,0.45
4of6,HLA_A0252,0.45
3of6,HLA_B3503,0.45
1of6,HLA_A6901,0.45
3of6,HLA_A6901,0.44
1of6,HLA_A2608,0.44
4of6,HLA_B2709,0.44
2of6,HLA_C0702,0.44
2of6,HLA_B0702,0.44
4of6,HLA_B4701,0.44
2of6,HLA_B4201,0.44
1of6,HLA_B2705,0.44
2of6,HLA_B5502,0.44
1of6,HLA_A2402,0.44
1of6,HLA_A0203,0.44
6of6,HLA_B3507,0.44
6of6,HLA_B3905,0.44
2of6,HLA_C0403,0.44
6of6,HLA_B3906,0.44
2of6,HLA_B5501,0.44
4of6,HLA_B4405,0.44
1of6,HLA_B1517,0.44
2of6,HLA_B1503,0.44
6of6,HLA_B5401,0.44
6of6,HLA_C0801,0.44
3of6,HLA_B4601,0.43
3of6,HLA_B4032,0.43
2of6,HLA_B3701,0.43
3of6,HLA_B5301,0.43
1of6,HLA_A1101,0.43
3of6,HLA_C1203,0.43
1of6,HLA_B3901,0.43
1of6,HLA_B5101,0.43
1of6,HLA_B5703,0.43
1of6,HLA_B8101,0.43
3of6,HLA_B1517,0.43
6of6,HLA_A0201,0.43
6of6,HLA_B1803,0.43
6of6,HLA_C0303,0.43
4of6,HLA_A6901,0.43
1of6,HLA_C0602,0.43
1of6,HLA_B4001,0.43
4of6,HLA_B1518,0.43
3of6,HLA_B1513,0.43
1of6,HLA_A3001,0.43
2of6,HLA_B5601,0.43
3of6,HLA_B3801,0.43
4of6,HLA_B3905,0.43
1of6,HLA_B1503,0.43
2of6,HLA_B5001,0.42
4of6,HLA_B2704,0.42
4of6,HLA_B1805,0.42
6of6,HLA_C1701,0.42
3of6,HLA_C1601,0.42
6of6,HLA_B5701,0.42
3of6,HLA_B5703,0.42
2of6,HLA_B3503,0.42
2of6,HLA_A0101,0.42
3of6,HLA_B1805,0.42
2of6,HLA_B1510,0.42
4of6,HLA_A6802,0.42
